Time,BAFU_2032_PegelPneumatik
2021-07-20T11:30:00Z,397.007
2021-07-20T11:40:00Z,397.008
2021-07-20T11:50:00Z,397.005
2021-07-20T12:00:00Z,397.008
2021-07-20T12:10:00Z,397.006
2021-07-20T12:20:00Z,397.005
2021-07-20T12:30:00Z,397.005
2021-07-20T12:40:00Z,397.005
2021-07-20T12:50:00Z,397.004
2021-07-20T13:00:00Z,397.004
2021-07-20T13:10:00Z,397.003
2021-07-20T13:20:00Z,397.005
2021-07-20T13:30:00Z,397.004
2021-07-20T13:40:00Z,397.003
2021-07-20T13:50:00Z,397.004
2021-07-20T14:00:00Z,397.004
2021-07-20T14:10:00Z,397.002
2021-07-20T14:20:00Z,397.002
2021-07-20T14:30:00Z,397.002
2021-07-20T14:40:00Z,397.003
2021-07-20T14:50:00Z,397.003
2021-07-20T15:00:00Z,397.002
2021-07-20T15:10:00Z,397.003
2021-07-20T15:20:00Z,397.002
2021-07-20T15:30:00Z,397.002
2021-07-20T15:40:00Z,397.002
2021-07-20T15:50:00Z,397.002
2021-07-20T16:00:00Z,397.002
2021-07-20T16:10:00Z,397.001
2021-07-20T16:20:00Z,397.001
2021-07-20T16:30:00Z,397
2021-07-20T16:40:00Z,397.003
2021-07-20T16:50:00Z,397.001
2021-07-20T17:00:00Z,397.001
2021-07-20T17:10:00Z,397
2021-07-20T17:20:00Z,397
2021-07-20T17:30:00Z,397.001
2021-07-20T17:40:00Z,397.001
2021-07-20T17:50:00Z,397
2021-07-20T18:00:00Z,397
2021-07-20T18:10:00Z,397
2021-07-20T18:20:00Z,396.999
2021-07-20T18:30:00Z,397
2021-07-20T18:40:00Z,397
2021-07-20T18:50:00Z,396.998
2021-07-20T19:00:00Z,396.998
2021-07-20T19:10:00Z,396.998
2021-07-20T19:20:00Z,396.999
2021-07-20T19:30:00Z,396.999
2021-07-20T19:40:00Z,396.998
2021-07-20T19:50:00Z,396.997
2021-07-20T20:00:00Z,396.997
2021-07-20T20:10:00Z,396.997
2021-07-20T20:20:00Z,396.997
2021-07-20T20:30:00Z,396.997
2021-07-20T20:40:00Z,396.996
2021-07-20T20:50:00Z,396.995
2021-07-20T21:00:00Z,396.995
2021-07-20T21:10:00Z,396.996
2021-07-20T21:20:00Z,396.996
2021-07-20T21:30:00Z,396.994
2021-07-20T21:40:00Z,396.993
2021-07-20T21:50:00Z,396.992
2021-07-20T22:00:00Z,396.992
2021-07-20T22:10:00Z,396.992
2021-07-20T22:20:00Z,396.991
2021-07-20T22:30:00Z,396.993
2021-07-20T22:40:00Z,396.993
2021-07-20T22:50:00Z,396.993
2021-07-20T23:00:00Z,396.993
2021-07-20T23:10:00Z,396.993
2021-07-20T23:20:00Z,396.994
2021-07-20T23:30:00Z,396.993
2021-07-20T23:40:00Z,396.993
2021-07-20T23:50:00Z,396.993
2021-07-21T00:00:00Z,396.994
2021-07-21T00:10:00Z,396.992
2021-07-21T00:20:00Z,396.992
2021-07-21T00:30:00Z,396.992
2021-07-21T00:40:00Z,396.992
2021-07-21T00:50:00Z,396.991
2021-07-21T01:00:00Z,396.992
2021-07-21T01:10:00Z,396.991
2021-07-21T01:20:00Z,396.991
2021-07-21T01:30:00Z,396.99
2021-07-21T01:40:00Z,396.991
2021-07-21T01:50:00Z,396.991
2021-07-21T02:00:00Z,396.991
2021-07-21T02:10:00Z,396.99
2021-07-21T02:20:00Z,396.99
2021-07-21T02:30:00Z,396.989
2021-07-21T02:40:00Z,396.99
2021-07-21T02:50:00Z,396.989
2021-07-21T03:00:00Z,396.989
2021-07-21T03:10:00Z,396.99
2021-07-21T03:20:00Z,396.989
2021-07-21T03:30:00Z,396.989
2021-07-21T03:40:00Z,396.99
2021-07-21T03:50:00Z,396.989
2021-07-21T04:00:00Z,396.988
2021-07-21T04:10:00Z,396.988
2021-07-21T04:20:00Z,396.987
2021-07-21T04:30:00Z,396.989
2021-07-21T04:40:00Z,396.988
2021-07-21T04:50:00Z,396.987
2021-07-21T05:00:00Z,396.987
2021-07-21T05:10:00Z,396.986
2021-07-21T05:20:00Z,396.986
2021-07-21T05:30:00Z,396.986
2021-07-21T05:40:00Z,396.986
2021-07-21T05:50:00Z,396.985
2021-07-21T06:00:00Z,396.984
2021-07-21T06:10:00Z,396.984
2021-07-21T06:20:00Z,396.984
2021-07-21T06:30:00Z,396.985
2021-07-21T06:40:00Z,396.984
2021-07-21T06:50:00Z,396.982
2021-07-21T07:00:00Z,396.982
2021-07-21T07:10:00Z,396.983
2021-07-21T07:20:00Z,396.983
2021-07-21T07:30:00Z,396.982
2021-07-21T07:40:00Z,396.983
2021-07-21T07:50:00Z,396.981
2021-07-21T08:00:00Z,396.981
2021-07-21T08:10:00Z,396.98
2021-07-21T08:20:00Z,396.981
2021-07-21T08:30:00Z,396.98
2021-07-21T08:40:00Z,396.98
2021-07-21T08:50:00Z,396.978
2021-07-21T09:00:00Z,396.98
2021-07-21T09:10:00Z,396.978
2021-07-21T09:20:00Z,396.978
2021-07-21T09:30:00Z,396.976
2021-07-21T09:40:00Z,396.977
2021-07-21T09:50:00Z,396.977
2021-07-21T10:00:00Z,396.977
2021-07-21T10:10:00Z,396.975
2021-07-21T10:20:00Z,396.974
2021-07-21T10:30:00Z,396.976
2021-07-21T10:40:00Z,396.976
2021-07-21T10:50:00Z,396.976
2021-07-21T11:00:00Z,396.977
2021-07-21T11:10:00Z,396.976
2021-07-21T11:20:00Z,396.976
2021-07-21T11:30:00Z,396.976
2021-07-21T11:40:00Z,396.977
2021-07-21T11:50:00Z,396.976
2021-07-21T12:00:00Z,396.977
2021-07-21T12:10:00Z,396.974
2021-07-21T12:20:00Z,396.974
2021-07-21T12:30:00Z,396.975
2021-07-21T12:40:00Z,396.975
2021-07-21T12:50:00Z,396.974
2021-07-21T13:00:00Z,396.974
2021-07-21T13:10:00Z,396.974
2021-07-21T13:20:00Z,396.975
2021-07-21T13:30:00Z,396.972
2021-07-21T13:40:00Z,396.974
2021-07-21T13:50:00Z,396.972
2021-07-21T14:00:00Z,396.971
2021-07-21T14:10:00Z,396.97
2021-07-21T14:20:00Z,396.971
2021-07-21T14:30:00Z,396.971
2021-07-21T14:40:00Z,396.97
2021-07-21T14:50:00Z,396.969
2021-07-21T15:00:00Z,396.968
2021-07-21T15:10:00Z,396.968
2021-07-21T15:20:00Z,396.968
2021-07-21T15:30:00Z,396.967
2021-07-21T15:40:00Z,396.969
2021-07-21T15:50:00Z,396.968
2021-07-21T16:00:00Z,396.966
2021-07-21T16:10:00Z,396.966
2021-07-21T16:20:00Z,396.964
2021-07-21T16:30:00Z,396.966
2021-07-21T16:40:00Z,396.967
2021-07-21T16:50:00Z,396.964
2021-07-21T17:00:00Z,396.965
2021-07-21T17:10:00Z,396.965
2021-07-21T17:20:00Z,396.965
2021-07-21T17:30:00Z,396.964
2021-07-21T17:40:00Z,396.965
2021-07-21T17:50:00Z,396.963
2021-07-21T18:00:00Z,396.963
2021-07-21T18:10:00Z,396.963
2021-07-21T18:20:00Z,396.963
2021-07-21T18:30:00Z,396.962
2021-07-21T18:40:00Z,396.962
2021-07-21T18:50:00Z,396.962
2021-07-21T19:00:00Z,396.963
2021-07-21T19:10:00Z,396.96
2021-07-21T19:20:00Z,396.961
2021-07-21T19:30:00Z,396.962
2021-07-21T19:40:00Z,396.961
2021-07-21T19:50:00Z,396.961
2021-07-21T20:00:00Z,396.96
2021-07-21T20:10:00Z,396.961
2021-07-21T20:20:00Z,396.962
2021-07-21T20:30:00Z,396.96
2021-07-21T20:40:00Z,396.962
2021-07-21T20:50:00Z,396.961
2021-07-21T21:00:00Z,396.958
2021-07-21T21:10:00Z,396.957
2021-07-21T21:20:00Z,396.956
2021-07-21T21:30:00Z,396.956
2021-07-21T21:40:00Z,396.956
2021-07-21T21:50:00Z,396.957
2021-07-21T22:00:00Z,396.956
2021-07-21T22:10:00Z,396.956
2021-07-21T22:20:00Z,396.956
2021-07-21T22:30:00Z,396.956
2021-07-21T22:40:00Z,396.956
2021-07-21T22:50:00Z,396.956
2021-07-21T23:00:00Z,396.957
2021-07-21T23:10:00Z,396.959
2021-07-21T23:20:00Z,396.96
2021-07-21T23:30:00Z,396.963
2021-07-21T23:40:00Z,396.964
2021-07-21T23:50:00Z,396.963
2021-07-22T00:00:00Z,396.961
2021-07-22T00:10:00Z,396.96
2021-07-22T00:20:00Z,396.96
2021-07-22T00:30:00Z,396.96
2021-07-22T00:40:00Z,396.961
2021-07-22T00:50:00Z,396.96
2021-07-22T01:00:00Z,396.959
2021-07-22T01:10:00Z,396.959
2021-07-22T01:20:00Z,396.958
2021-07-22T01:30:00Z,396.955
2021-07-22T01:40:00Z,396.954
2021-07-22T01:50:00Z,396.953
2021-07-22T02:00:00Z,396.951
2021-07-22T02:10:00Z,396.952
2021-07-22T02:20:00Z,396.956
2021-07-22T02:30:00Z,396.959
2021-07-22T02:40:00Z,396.957
2021-07-22T02:50:00Z,396.956
2021-07-22T03:00:00Z,396.955
2021-07-22T03:10:00Z,396.954
2021-07-22T03:20:00Z,396.955
2021-07-22T03:30:00Z,396.956
2021-07-22T03:40:00Z,396.957
2021-07-22T03:50:00Z,396.954
2021-07-22T04:00:00Z,396.95
2021-07-22T04:10:00Z,396.951
2021-07-22T04:20:00Z,396.952
2021-07-22T04:30:00Z,396.953
2021-07-22T04:40:00Z,396.953
2021-07-22T04:50:00Z,396.953
2021-07-22T05:00:00Z,396.958
2021-07-22T05:10:00Z,396.956
2021-07-22T05:20:00Z,396.957
2021-07-22T05:30:00Z,396.958
2021-07-22T05:40:00Z,396.958
2021-07-22T05:50:00Z,396.957
2021-07-22T06:00:00Z,396.957
2021-07-22T06:10:00Z,396.957
2021-07-22T06:20:00Z,396.958
2021-07-22T06:30:00Z,396.957
2021-07-22T06:40:00Z,396.957
2021-07-22T06:50:00Z,396.956
2021-07-22T07:00:00Z,396.957
2021-07-22T07:10:00Z,396.957
2021-07-22T07:20:00Z,396.957
2021-07-22T07:30:00Z,396.956
2021-07-22T07:40:00Z,396.958
2021-07-22T07:50:00Z,396.957
2021-07-22T08:00:00Z,396.956
2021-07-22T08:10:00Z,396.954
2021-07-22T08:20:00Z,396.951
2021-07-22T08:30:00Z,396.949
2021-07-22T08:40:00Z,396.95
2021-07-22T08:50:00Z,396.95
2021-07-22T09:00:00Z,396.951
2021-07-22T09:10:00Z,396.95
2021-07-22T09:20:00Z,396.949
2021-07-22T09:30:00Z,396.948
2021-07-22T09:40:00Z,396.95
2021-07-22T09:50:00Z,396.951
2021-07-22T10:00:00Z,396.949
2021-07-22T10:10:00Z,396.948
2021-07-22T10:20:00Z,396.947
2021-07-22T10:30:00Z,396.948
2021-07-22T10:40:00Z,396.949
2021-07-22T10:50:00Z,396.948
2021-07-22T11:00:00Z,396.947
2021-07-22T11:10:00Z,396.945
2021-07-22T11:20:00Z,396.945
2021-07-22T11:30:00Z,396.946
2021-07-22T11:40:00Z,396.948
2021-07-22T11:50:00Z,396.948
2021-07-22T12:00:00Z,396.946
2021-07-22T12:10:00Z,396.944
2021-07-22T12:20:00Z,396.945
2021-07-22T12:30:00Z,396.945
2021-07-22T12:40:00Z,396.947
2021-07-22T12:50:00Z,396.943
2021-07-22T13:00:00Z,396.939
2021-07-22T13:10:00Z,396.941
